Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9921624,CHOLERA_0000000003,COUNTRY,NGA,AFR,YEAR,Africa,,1985,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
9923810,CHOLERA_0000000003,COUNTRY,DZA,AFR,YEAR,Africa,,1990,,,,,,,,1.54,,,,,2013-06-11T14:04:28+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
9930546,CHOLERA_0000000003,COUNTRY,RWA,AFR,YEAR,Africa,,1986,,,,,,,,3.1,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
9931518,CHOLERA_0000000003,COUNTRY,USA,AMR,YEAR,Americas,,2014,,,,,,,,0.0,0.0,,,,2015-10-02T09:48:01+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9933205,CHOLERA_0000000003,COUNTRY,MEX,AMR,YEAR,Americas,,1993,,,,,,,,1.8,,,,,2013-06-11T14:04:28+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
9937588,CHOLERA_0000000003,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,2011,,,,,,,,1.18,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9942349,CHOLERA_0000000003,COUNTRY,TZA,AFR,YEAR,Africa,,1998,,,,,,,,4.2,,,,,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
9946550,CHOLERA_0000000003,COUNTRY,MRT,AFR,YEAR,Africa,,1972,,,,,,,,16.22,,,,,2013-06-11T14:04:28+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
9949531,CHOLERA_0000000003,COUNTRY,THA,SEAR,YEAR,South-East Asia,,1973,,,,,,,,3.91,,,,,2013-06-11T14:04:28+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
9966088,CHOLERA_0000000003,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,1987,,,,,,,,4.4,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
9968651,CHOLERA_0000000003,COUNTRY,PER,AMR,YEAR,Americas,,1999,,,,,,,,0.39,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
9974602,CHOLERA_0000000003,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,2011,,,,,,,,1.46,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9981351,CHOLERA_0000000003,COUNTRY,GHA,AFR,YEAR,Africa,,1994,,,,,,,,2.38,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
9992076,CHOLERA_0000000003,COUNTRY,NLD,EUR,YEAR,Europe,,1978,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
9992554,CHOLERA_0000000003,COUNTRY,KOR,WPR,YEAR,Western Pacific,,2013,,,,,,,,0,0.0,,,,2014-08-29T13:48:32+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9994182,CHOLERA_0000000003,COUNTRY,BEN,AFR,YEAR,Africa,,2012,,,,,,,,0.48,0.48,,,,2013-10-03T09:19:13+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9994700,CHOLERA_0000000003,COUNTRY,HTI,AMR,YEAR,Americas,,2015,,,,,,,,0.9,0.9,,,,2016-09-20T08:46:13+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9996773,CHOLERA_0000000003,COUNTRY,TCD,AFR,YEAR,Africa,,2003,,,,,,,,12.73,,,,,2013-06-11T14:04:28+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
10002433,CHOLERA_0000000003,COUNTRY,COD,AFR,YEAR,Africa,,1990,,,,,,,,13.03,,,,,2013-06-11T14:04:28+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
10002593,CHOLERA_0000000003,COUNTRY,GNQ,AFR,YEAR,Africa,,2005,,,,,,,,0.52,,,,,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
10007138,CHOLERA_0000000003,COUNTRY,UKR,EUR,YEAR,Europe,,1999,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
10012505,CHOLERA_0000000003,COUNTRY,NER,AFR,YEAR,Africa,,1994,,,,,,,,11.34,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
10013566,CHOLERA_0000000003,COUNTRY,SLV,AMR,YEAR,Americas,,1999,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
10014828,CHOLERA_0000000003,COUNTRY,CHN,WPR,YEAR,Western Pacific,,2004,,,,,,,,0.41,,,,,2013-06-11T14:04:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
10016029,CHOLERA_0000000003,COUNTRY,MYS,WPR,YEAR,Western Pacific,,1964,,,,,,,,27.93,,,,,2013-06-11T14:04:28+02:00,1964,1964-01-01T00:00:00+01:00,1964-12-31T00:00:00+01:00
10016245,CHOLERA_0000000003,COUNTRY,MRT,AFR,YEAR,Africa,,1986,,,,,,,,3.03,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
10019833,CHOLERA_0000000003,COUNTRY,GIN,AFR,YEAR,Africa,,2011,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
10021821,CHOLERA_0000000003,COUNTRY,CIV,AFR,YEAR,Africa,,2008,,,,,,,,14.29,,,,,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
