Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5831114,CHOLERA_0000000001,COUNTRY,AUS,WPR,YEAR,Western Pacific,,1977,,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
5839433,CHOLERA_0000000001,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,1977,,,,,,,,18,,,,,2013-06-11T14:04:28+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
5839809,CHOLERA_0000000001,COUNTRY,ECU,AMR,YEAR,Americas,,1992,,,,,,,,31870,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5844067,CHOLERA_0000000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,,1951,,,,,,,,86787,,,,,2013-06-11T14:04:28+02:00,1951,1951-01-01T00:00:00+01:00,1951-12-31T00:00:00+01:00
5845241,CHOLERA_0000000001,COUNTRY,GIN,AFR,YEAR,Africa,,2014,,,,,,,,1,1.0,,,,2015-10-02T09:47:47+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5847771,CHOLERA_0000000001,COUNTRY,CHN,WPR,YEAR,Western Pacific,,1980,,,,,,,,88,,,,,2013-06-11T14:04:28+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
5855721,CHOLERA_0000000001,COUNTRY,MEX,AMR,YEAR,Americas,,1993,,,,,,,,10712,,,,,2013-06-11T14:04:28+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
5860257,CHOLERA_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,,2006,,,,,,,,5194,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5875831,CHOLERA_0000000001,COUNTRY,CAN,AMR,YEAR,Americas,,1995,,,,,,,,7,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
5887173,CHOLERA_0000000001,COUNTRY,ZAF,AFR,YEAR,Africa,,2004,,,,,,,,2767,,,,,2013-06-11T14:04:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
