Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5690670,CHOLERA_0000000002,COUNTRY,TCD,AFR,YEAR,Africa,,,2001,,,,,,,226,226.0,,,,2013-06-11T14:01:25+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5695138,CHOLERA_0000000002,COUNTRY,MOZ,AFR,YEAR,Africa,,,2016,,,,,,,2,2.0,,,,2017-08-23T09:37:23+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5696001,CHOLERA_0000000002,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,1969,,,,,,,106,106.0,,,,2013-06-11T14:01:25+02:00,1969,1969-01-01T00:00:00+01:00,1969-12-31T00:00:00+01:00
5702157,CHOLERA_0000000002,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,1970,,,,,,,1,1.0,,,,2013-06-11T14:01:25+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
5702756,CHOLERA_0000000002,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,1980,,,,,,,4,4.0,,,,2013-06-11T14:01:25+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
6642451,CHOLERA_0000000002,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,,1975,,,,,,,172,172.0,,,,2013-06-11T14:01:25+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
6652576,CHOLERA_0000000002,COUNTRY,BDI,AFR,YEAR,Africa,,,2001,,,,,,,20,20.0,,,,2013-06-11T14:01:25+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6659336,CHOLERA_0000000002,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,,,1977,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
6661949,CHOLERA_0000000002,COUNTRY,SEN,AFR,YEAR,Africa,,,2008,,,,,,,20,20.0,,,,2013-06-11T14:01:25+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6669619,CHOLERA_0000000002,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,1988,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
6674327,CHOLERA_0000000002,COUNTRY,LBR,AFR,YEAR,Africa,,,2010,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6675223,CHOLERA_0000000002,COUNTRY,SWE,EUR,YEAR,Europe,,,2004,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6678726,CHOLERA_0000000002,COUNTRY,ETH,AFR,YEAR,Africa,,,2008,,,,,,,23,23.0,,,,2013-06-11T14:01:25+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6681868,CHOLERA_0000000002,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2008,,,,,,,1,1.0,,,,2013-06-11T14:01:25+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6682890,CHOLERA_0000000002,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,1969,,,,,,,26,26.0,,,,2013-06-11T14:01:25+02:00,1969,1969-01-01T00:00:00+01:00,1969-12-31T00:00:00+01:00
6694922,CHOLERA_0000000002,COUNTRY,NGA,AFR,YEAR,Africa,,,1989,,,,,,,61,61.0,,,,2013-06-11T14:01:25+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6703038,CHOLERA_0000000002,COUNTRY,GBR,EUR,YEAR,Europe,,,1976,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6707067,CHOLERA_0000000002,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,1989,,,,,,,2,2.0,,,,2013-06-11T14:01:25+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6707415,CHOLERA_0000000002,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,1964,,,,,,,872,872.0,,,,2013-06-11T14:01:25+02:00,1964,1964-01-01T00:00:00+01:00,1964-12-31T00:00:00+01:00
6712136,CHOLERA_0000000002,COUNTRY,SWZ,AFR,YEAR,Africa,,,1999,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
